"ProductID","Name","ProductNumber","Color","StandardCost","ListPrice","Size","Weight","ProductSubcategoryID"
680,"HL Road Frame - Black, 58","FR-R92B-58","Black",1059.31,1431.5,"58",2.24,14
706,"HL Road Frame - Red, 58","FR-R92R-58","Red",1059.31,1431.5,"58",2.24,14
707,"Sport-100 Helmet, Red","HL-U509-R","Red",13.0863,34.99,"44",61.3342929292929,31
708,"Sport-100 Helmet, Black","HL-U509","Black",13.0863,34.99,"44",61.3342929292929,31
709,"Mountain Bike Socks, M","SO-B909-M","White",3.3963,9.5,"M",61.3342929292929,23
710,"Mountain Bike Socks, L","SO-B909-L","White",3.3963,9.5,"L",61.3342929292929,23
711,"Sport-100 Helmet, Blue","HL-U509-B","Blue",13.0863,34.99,"44",61.3342929292929,31
712,"AWC Logo Cap","CA-1098","Multi",6.9223,8.99,"44",61.3342929292929,19
713,"Long-Sleeve Logo Jersey, S","LJ-0192-S","Multi",38.4923,49.99,"S",61.3342929292929,21
714,"Long-Sleeve Logo Jersey, M","LJ-0192-M","Multi",38.4923,49.99,"M",61.3342929292929,21
715,"Long-Sleeve Logo Jersey, L","LJ-0192-L","Multi",38.4923,49.99,"L",61.3342929292929,21
716,"Long-Sleeve Logo Jersey, XL","LJ-0192-X","Multi",38.4923,49.99,"XL",61.3342929292929,21
717,"HL Road Frame - Red, 62","FR-R92R-62","Red",868.6342,1431.5,"62",2.3,14
718,"HL Road Frame - Red, 44","FR-R92R-44","Red",868.6342,1431.5,"44",2.12,14
719,"HL Road Frame - Red, 48","FR-R92R-48","Red",868.6342,1431.5,"48",2.16,14
720,"HL Road Frame - Red, 52","FR-R92R-52","Red",868.6342,1431.5,"52",2.2,14
721,"HL Road Frame - Red, 56","FR-R92R-56","Red",868.6342,1431.5,"56",2.24,14
722,"LL Road Frame - Black, 58","FR-R38B-58","Black",204.6251,337.22,"58",2.46,14
723,"LL Road Frame - Black, 60","FR-R38B-60","Black",204.6251,337.22,"60",2.48,14
724,"LL Road Frame - Black, 62","FR-R38B-62","Black",204.6251,337.22,"62",2.5,14
725,"LL Road Frame - Red, 44","FR-R38R-44","Red",187.1571,337.22,"44",2.32,14
726,"LL Road Frame - Red, 48","FR-R38R-48","Red",187.1571,337.22,"48",2.36,14
727,"LL Road Frame - Red, 52","FR-R38R-52","Red",187.1571,337.22,"52",2.4,14
728,"LL Road Frame - Red, 58","FR-R38R-58","Red",187.1571,337.22,"58",2.46,14
729,"LL Road Frame - Red, 60","FR-R38R-60","Red",187.1571,337.22,"60",2.48,14
730,"LL Road Frame - Red, 62","FR-R38R-62","Red",187.1571,337.22,"62",2.5,14
731,"ML Road Frame - Red, 44","FR-R72R-44","Red",352.1394,594.83,"44",2.22,14
732,"ML Road Frame - Red, 48","FR-R72R-48","Red",352.1394,594.83,"48",2.26,14
733,"ML Road Frame - Red, 52","FR-R72R-52","Red",352.1394,594.83,"52",2.3,14
734,"ML Road Frame - Red, 58","FR-R72R-58","Red",352.1394,594.83,"58",2.36,14
735,"ML Road Frame - Red, 60","FR-R72R-60","Red",352.1394,594.83,"60",2.38,14
736,"LL Road Frame - Black, 44","FR-R38B-44","Black",204.6251,337.22,"44",2.32,14
737,"LL Road Frame - Black, 48","FR-R38B-48","Black",204.6251,337.22,"48",2.36,14
738,"LL Road Frame - Black, 52","FR-R38B-52","Black",204.6251,337.22,"52",2.4,14
739,"HL Mountain Frame - Silver, 42","FR-M94S-42","Silver",747.2002,1364.5,"42",2.72,12
740,"HL Mountain Frame - Silver, 44","FR-M94S-44","Silver",706.811,1364.5,"44",2.76,12
741,"HL Mountain Frame - Silver, 48","FR-M94S-52","Silver",706.811,1364.5,"48",2.8,12
742,"HL Mountain Frame - Silver, 46","FR-M94S-46","Silver",747.2002,1364.5,"46",2.84,12
743,"HL Mountain Frame - Black, 42","FR-M94B-42","Black",739.041,1349.6,"42",2.72,12
744,"HL Mountain Frame - Black, 44","FR-M94B-44","Black",699.0928,1349.6,"44",2.76,12
745,"HL Mountain Frame - Black, 48","FR-M94B-48","Black",699.0928,1349.6,"48",2.8,12
746,"HL Mountain Frame - Black, 46","FR-M94B-46","Black",739.041,1349.6,"46",2.84,12
747,"HL Mountain Frame - Black, 38","FR-M94B-38","Black",739.041,1349.6,"38",2.68,12
748,"HL Mountain Frame - Silver, 38","FR-M94S-38","Silver",747.2002,1364.5,"38",2.68,12
749,"Road-150 Red, 62","BK-R93R-62","Red",2171.2942,3578.27,"62",15,2
750,"Road-150 Red, 44","BK-R93R-44","Red",2171.2942,3578.27,"44",13.77,2
751,"Road-150 Red, 48","BK-R93R-48","Red",2171.2942,3578.27,"48",14.13,2
752,"Road-150 Red, 52","BK-R93R-52","Red",2171.2942,3578.27,"52",14.42,2
753,"Road-150 Red, 56","BK-R93R-56","Red",2171.2942,3578.27,"56",14.68,2
754,"Road-450 Red, 58","BK-R68R-58","Red",884.7083,1457.99,"58",17.79,2
755,"Road-450 Red, 60","BK-R68R-60","Red",884.7083,1457.99,"60",17.9,2
756,"Road-450 Red, 44","BK-R68R-44","Red",884.7083,1457.99,"44",16.77,2
757,"Road-450 Red, 48","BK-R68R-48","Red",884.7083,1457.99,"48",17.13,2
758,"Road-450 Red, 52","BK-R68R-52","Red",884.7083,1457.99,"52",17.42,2
759,"Road-650 Red, 58","BK-R50R-58","Red",486.7066,782.99,"58",19.79,2
760,"Road-650 Red, 60","BK-R50R-60","Red",486.7066,782.99,"60",19.9,2
761,"Road-650 Red, 62","BK-R50R-62","Red",486.7066,782.99,"62",20,2
762,"Road-650 Red, 44","BK-R50R-44","Red",486.7066,782.99,"44",18.77,2
763,"Road-650 Red, 48","BK-R50R-48","Red",486.7066,782.99,"48",19.13,2
764,"Road-650 Red, 52","BK-R50R-52","Red",486.7066,782.99,"52",19.42,2
765,"Road-650 Black, 58","BK-R50B-58","Black",486.7066,782.99,"58",19.79,2
766,"Road-650 Black, 60","BK-R50B-60","Black",486.7066,782.99,"60",19.9,2
767,"Road-650 Black, 62","BK-R50B-62","Black",486.7066,782.99,"62",20,2
768,"Road-650 Black, 44","BK-R50B-44","Black",486.7066,782.99,"44",18.77,2
769,"Road-650 Black, 48","BK-R50B-48","Black",486.7066,782.99,"48",19.13,2
770,"Road-650 Black, 52","BK-R50B-52","Black",486.7066,782.99,"52",19.42,2
771,"Mountain-100 Silver, 38","BK-M82S-38","Silver",1912.1544,3399.99,"38",20.35,1
772,"Mountain-100 Silver, 42","BK-M82S-42","Silver",1912.1544,3399.99,"42",20.77,1
773,"Mountain-100 Silver, 44","BK-M82S-44","Silver",1912.1544,3399.99,"44",21.13,1
774,"Mountain-100 Silver, 48","BK-M82S-48","Silver",1912.1544,3399.99,"48",21.42,1
775,"Mountain-100 Black, 38","BK-M82B-38","Black",1898.0944,3374.99,"38",20.35,1
776,"Mountain-100 Black, 42","BK-M82B-42","Black",1898.0944,3374.99,"42",20.77,1
777,"Mountain-100 Black, 44","BK-M82B-44","Black",1898.0944,3374.99,"44",21.13,1
778,"Mountain-100 Black, 48","BK-M82B-48","Black",1898.0944,3374.99,"48",21.42,1
779,"Mountain-200 Silver, 38","BK-M68S-38","Silver",1265.6195,2319.99,"38",23.35,1
780,"Mountain-200 Silver, 42","BK-M68S-42","Silver",1265.6195,2319.99,"42",23.77,1
781,"Mountain-200 Silver, 46","BK-M68S-46","Silver",1265.6195,2319.99,"46",24.13,1
782,"Mountain-200 Black, 38","BK-M68B-38","Black",1251.9813,2294.99,"38",23.35,1
783,"Mountain-200 Black, 42","BK-M68B-42","Black",1251.9813,2294.99,"42",23.77,1
784,"Mountain-200 Black, 46","BK-M68B-46","Black",1251.9813,2294.99,"46",24.13,1
785,"Mountain-300 Black, 38","BK-M47B-38","Black",598.4354,1079.99,"38",25.35,1
786,"Mountain-300 Black, 40","BK-M47B-40","Black",598.4354,1079.99,"40",25.77,1
787,"Mountain-300 Black, 44","BK-M47B-44","Black",598.4354,1079.99,"44",26.13,1
788,"Mountain-300 Black, 48","BK-M47B-48","Black",598.4354,1079.99,"48",26.42,1
789,"Road-250 Red, 44","BK-R89R-44","Red",1518.7864,2443.35,"44",14.77,2
790,"Road-250 Red, 48","BK-R89R-48","Red",1518.7864,2443.35,"48",15.13,2
791,"Road-250 Red, 52","BK-R89R-52","Red",1518.7864,2443.35,"52",15.42,2
792,"Road-250 Red, 58","BK-R89R-58","Red",1554.9479,2443.35,"58",15.79,2
793,"Road-250 Black, 44","BK-R89B-44","Black",1554.9479,2443.35,"44",14.77,2
794,"Road-250 Black, 48","BK-R89B-48","Black",1554.9479,2443.35,"48",15.13,2
795,"Road-250 Black, 52","BK-R89B-52","Black",1554.9479,2443.35,"52",15.42,2
796,"Road-250 Black, 58","BK-R89B-58","Black",1554.9479,2443.35,"58",15.68,2
797,"Road-550-W Yellow, 38","BK-R64Y-38","Yellow",713.0798,1120.49,"38",17.35,2
798,"Road-550-W Yellow, 40","BK-R64Y-40","Yellow",713.0798,1120.49,"40",17.77,2
799,"Road-550-W Yellow, 42","BK-R64Y-42","Yellow",713.0798,1120.49,"42",18.13,2
800,"Road-550-W Yellow, 44","BK-R64Y-44","Yellow",713.0798,1120.49,"44",18.42,2
801,"Road-550-W Yellow, 48","BK-R64Y-48","Yellow",713.0798,1120.49,"48",18.68,2
802,"LL Fork","FK-1639","Black",65.8097,148.22,"44",61.3342929292929,10
803,"ML Fork","FK-5136","Black",77.9176,175.49,"44",61.3342929292929,10
804,"HL Fork","FK-9939","Black",101.8936,229.49,"44",61.3342929292929,10
805,"LL Headset","HS-0296","Black",15.1848,34.2,"44",61.3342929292929,11
806,"ML Headset","HS-2451","Black",45.4168,102.29,"44",61.3342929292929,11
807,"HL Headset","HS-3479","Black",55.3801,124.73,"44",61.3342929292929,11
808,"LL Mountain Handlebars","HB-M243","Black",19.7758,44.54,"44",61.3342929292929,4
809,"ML Mountain Handlebars","HB-M763","Black",27.4925,61.92,"44",61.3342929292929,4
810,"HL Mountain Handlebars","HB-M918","Black",53.3999,120.27,"44",61.3342929292929,4
811,"LL Road Handlebars","HB-R504","Black",19.7758,44.54,"44",61.3342929292929,4
812,"ML Road Handlebars","HB-R720","Black",27.4925,61.92,"44",61.3342929292929,4
813,"HL Road Handlebars","HB-R956","Black",53.3999,120.27,"44",61.3342929292929,4
814,"ML Mountain Frame - Black, 38","FR-M63B-38","Black",185.8193,348.76,"38",2.73,12
815,"LL Mountain Front Wheel","FW-M423","Black",26.9708,60.745,"44",61.3342929292929,17
816,"ML Mountain Front Wheel","FW-M762","Black",92.8071,209.025,"44",61.3342929292929,17
817,"HL Mountain Front Wheel","FW-M928","Black",133.2955,300.215,"44",61.3342929292929,17
818,"LL Road Front Wheel","FW-R623","Black",37.9909,85.565,"44",900,17
819,"ML Road Front Wheel","FW-R762","Black",110.2829,248.385,"44",850,17
820,"HL Road Front Wheel","FW-R820","Black",146.5466,330.06,"44",650,17
821,"Touring Front Wheel","FW-T905","Black",96.7964,218.01,"44",61.3342929292929,17
822,"ML Road Frame-W - Yellow, 38","FR-R72Y-38","Yellow",360.9428,594.83,"38",2.18,14
823,"LL Mountain Rear Wheel","RW-M423","Black",38.9588,87.745,"44",61.3342929292929,17
824,"ML Mountain Rear Wheel","RW-M762","Black",104.7951,236.025,"44",61.3342929292929,17
825,"HL Mountain Rear Wheel","RW-M928","Black",145.2835,327.215,"44",61.3342929292929,17
826,"LL Road Rear Wheel","RW-R623","Black",49.9789,112.565,"44",1050,17
827,"ML Road Rear Wheel","RW-R762","Black",122.2709,275.385,"44",1000,17
828,"HL Road Rear Wheel","RW-R820","Black",158.5346,357.06,"44",890,17
829,"Touring Rear Wheel","RW-T905","Black",108.7844,245.01,"44",61.3342929292929,17
830,"ML Mountain Frame - Black, 40","FR-M63B-40","Black",185.8193,348.76,"40",2.77,12
831,"ML Mountain Frame - Black, 44","FR-M63B-44","Black",185.8193,348.76,"44",2.81,12
832,"ML Mountain Frame - Black, 48","FR-M63B-48","Black",185.8193,348.76,"48",2.85,12
833,"ML Road Frame-W - Yellow, 40","FR-R72Y-40","Yellow",360.9428,594.83,"40",2.22,14
834,"ML Road Frame-W - Yellow, 42","FR-R72Y-42","Yellow",360.9428,594.83,"42",2.26,14
835,"ML Road Frame-W - Yellow, 44","FR-R72Y-44","Yellow",360.9428,594.83,"44",2.3,14
836,"ML Road Frame-W - Yellow, 48","FR-R72Y-48","Yellow",360.9428,594.83,"48",2.34,14
837,"HL Road Frame - Black, 62","FR-R92B-62","Black",868.6342,1431.5,"62",2.3,14
838,"HL Road Frame - Black, 44","FR-R92B-44","Black",868.6342,1431.5,"44",2.12,14
839,"HL Road Frame - Black, 48","FR-R92B-48","Black",868.6342,1431.5,"48",2.16,14
840,"HL Road Frame - Black, 52","FR-R92B-52","Black",868.6342,1431.5,"52",2.2,14
841,"Men's Sports Shorts, S","SH-M897-S","Black",24.7459,59.99,"S",61.3342929292929,22
842,"Touring-Panniers, Large","PA-T100","Grey",51.5625,125,"44",61.3342929292929,35
843,"Cable Lock","LO-C100","Black",10.3125,25,"44",61.3342929292929,34
844,"Minipump","PU-0452","Black",8.2459,19.99,"44",61.3342929292929,36
845,"Mountain Pump","PU-M044","Black",10.3084,24.99,"44",61.3342929292929,36
846,"Taillights - Battery-Powered","LT-T990","Black",5.7709,13.99,"44",61.3342929292929,33
847,"Headlights - Dual-Beam","LT-H902","Black",14.4334,34.99,"44",61.3342929292929,33
848,"Headlights - Weatherproof","LT-H903","Black",18.5584,44.99,"44",61.3342929292929,33
849,"Men's Sports Shorts, M","SH-M897-M","Black",24.7459,59.99,"M",61.3342929292929,22
850,"Men's Sports Shorts, L","SH-M897-L","Black",24.7459,59.99,"L",61.3342929292929,22
851,"Men's Sports Shorts, XL","SH-M897-X","Black",24.7459,59.99,"XL",61.3342929292929,22
